items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,2566.519696,3.463539,0.566033,18.681217,30.61124,34.20665,172.912253,79.034306,98.895408,54.724147,26.104265,73.563562,223.463893,151.409665,33.459476,6.093057,54.190269,1328.891123,10.911875,8.510257,10.232687,5.465177,1.933585,7.588585,1.457648
Inventories,970.827782,3.180188,0.682909,14.961565,28.489723,28.030358,234.127194,186.284443,195.168581,226.03436,5.522146,25.933434,0.117927,0.84883,0.0,2.119976,7.315251,0.15356,1.199723,0.856229,0.986066,0.44854,0.138414,2.620946,1.56491
Land,224.191808,7.583792,0.332963,4.853207,2.952193,6.128236,22.630307,21.193096,21.737361,43.966614,6.909094,8.868285,1.036119,2.774263,0.164301,0.89228,1.798559,16.450033,2.37818,0.678465,2.189755,0.40581,0.699395,20.502991,0.426297
Total receipts,18461.285006,38.554122,11.434127,276.619886,648.159056,469.678806,2649.561597,3514.293254,2290.296986,2020.883474,444.612097,966.272588,299.81653,1843.79966,23.248095,68.012358,443.670477,1101.098283,219.897913,179.452881,245.846438,137.707549,13.378601,73.578164,28.174444
Business receipts,15347.14505,31.962318,10.621871,241.706282,602.493237,457.133532,2297.076453,3272.765788,2223.454045,1963.349948,426.305109,789.015336,121.864801,1384.601957,0.093788,58.476871,417.628771,187.262439,209.722452,170.706618,231.81943,132.136597,11.550815,57.016799,27.529114
Interest income,1792.109563,0.311871,0.133611,4.82855,8.968277,1.965841,137.395809,51.240887,16.325838,8.917943,4.346819,48.491745,136.650002,225.307267,19.379559,2.00114,6.143735,769.162281,1.841756,1.567169,1.216539,0.471054,0.194243,2.310285,0.062332
Nontaxable interest income,28.28684,0.017481,0.001443,0.076965,0.212993,0.080092,1.038169,0.525893,0.401587,0.44026,0.144143,0.55982,0.48068,13.52102,0.221048,0.011459,0.183285,7.410468,0.092952,0.07328,0.063167,0.045457,0.015191,0.008916,0.002081
Rents,88.805082,0.642867,0.03941,0.834548,2.488149,1.180599,26.525009,4.514232,3.540071,3.31923,0.99217,11.626738,0.924578,4.974496,0.009278,0.292704,0.393048,22.245935,0.126717,0.076244,0.369155,0.095493,0.088396,0.450275,0.025959
Royalties,153.696139,0.08996,0.001029,1.523113,0.085108,0.1681,53.068038,39.596214,5.464887,6.961324,1.470626,30.58366,0.106512,0.6544,0.013548,0.103361,5.098848,0.338391,0.714473,0.701017,0.022996,0.015361,0.257885,1.861081,0.061432
Net short-term capital gain reduced by net long-term capital loss,5.539789,0.00932,0.000546,0.103651,0.181516,0.129428,0.639241,0.220016,0.297116,0.351209,0.130977,-0.303127,0.9646,3.404428,0.047912,0.37544,0.149389,0.447288,0.019009,0.017743,0.018396,0.010333,0.00206,-1.85419,0.002139
