items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,1244.628141,2.630965,0.517546,6.260994,14.365794,21.701923,99.176784,39.795983,37.99532,33.698687,11.271054,44.077214,74.685877,154.864738,59.527853,13.994129,2.800752,23.372579,566.347902,6.215436,1.207541,6.629353,2.636227,3.872543,6.488105
Inventories,746.692526,3.617823,0.632365,4.912178,12.621981,29.732017,199.865592,127.907966,141.830166,190.025907,2.855011,13.076266,1.461152,0.090841,1.786748,0.224415,1.702983,3.517694,0.278926,1.251146,0.08895,0.457775,0.441168,2.027888,4.205685
Land,150.419245,7.814784,0.299754,2.237045,4.079107,5.514238,13.893863,15.986859,6.778806,27.191626,2.923484,6.622555,2.537149,0.901735,1.616722,14.283438,0.848859,1.068624,8.07117,1.829969,0.142517,2.03445,2.019696,11.441486,4.348748
Total receipts,13137.073593,36.187296,8.550844,101.600354,668.828791,412.489008,2283.217637,1970.266303,1514.079145,1575.065346,282.054415,638.6182,357.557094,334.540144,1286.254927,49.460153,42.346514,282.466872,658.286917,147.855081,10.145848,180.215287,24.129084,82.806874,63.393969
Business receipts,10962.690097,31.101058,7.999906,88.184376,625.093809,402.437892,2039.410113,1793.280404,1469.934204,1527.12102,268.843657,522.39084,67.215025,125.338738,964.936873,36.884699,37.633629,261.132579,115.538983,142.239774,9.24177,172.104077,20.873168,72.940112,58.928519
Interest income,1183.28091,0.356732,0.057792,3.864963,10.22435,2.385052,77.431331,39.815168,10.527791,11.540651,3.69493,22.674229,256.138414,159.990869,141.800086,1.930838,1.328725,3.566927,415.946692,1.25918,0.076247,1.015516,0.620605,2.013275,1.366467
Nontaxable interest income,19.843669,0.008254,0.002139,0.012561,0.093139,0.039343,1.675738,0.189837,0.0834,0.15711,0.039496,0.568982,2.237356,0.632669,8.289711,0.061893,0.003461,0.140547,5.406564,0.026113,0.00579,0.071015,0.007821,0.004087,0.037767
Rents,87.520062,0.5325,0.03468,0.334923,2.336917,1.180138,22.855181,5.356808,3.202424,2.903669,1.151002,5.951835,2.848637,1.133262,5.58344,1.568831,0.231988,0.516153,27.788328,0.127374,0.020454,0.447183,0.174015,0.725785,0.141417
Royalties,104.752847,0.089345,0.009644,0.722339,0.169635,0.142997,47.621889,25.671726,3.052079,7.230068,0.205756,10.650529,0.080567,0.095625,0.765255,0.112539,0.326353,2.954913,0.330456,0.470438,0.127677,0.23275,0.131176,0.982275,0.111412
Net short-term capital gain reduced by net long-term capital loss,19.423717,0.018904,0.002512,0.068126,6.278288,0.073774,1.574098,1.747509,0.415705,0.128507,0.082569,1.332738,0.205793,1.769214,3.320382,0.198418,0.023606,0.443037,1.275811,0.094622,0.001356,0.117897,0.003135,0.15927,0.016393
