items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,3344.032555,4.450514,0.909302,21.97012,6.861868,24.489974,198.984538,106.030005,116.583206,69.081356,23.933453,85.528238,316.483282,513.490998,177.327875,13.482338,7.351869,52.296507,1548.269171,13.460398,5.005563,10.910045,3.789207,11.87989,8.426049
Inventories,1089.06572,4.92576,0.917138,19.560741,10.556085,18.033696,298.359158,219.746021,222.782211,242.774677,5.268363,22.060264,0.589838,0.06115,0.998144,0.115957,1.778019,8.442073,0.221104,1.170251,0.288949,1.264644,0.39322,5.527241,3.231017
Land,255.694618,9.435184,0.351902,5.078141,1.079189,6.385305,22.617127,47.784684,15.402881,65.827353,5.813453,8.951008,3.21884,1.40858,1.82214,14.649217,1.5176,1.37007,16.000768,2.359994,0.612422,4.376941,3.334184,13.141001,3.058881
Total receipts,18455.805234,58.257505,15.693566,268.831703,135.212678,292.211126,2833.036799,3886.54652,2616.63472,2282.813731,416.616053,776.94509,394.771848,260.865577,1966.893559,49.717161,86.855979,542.442649,710.372983,225.996458,30.38282,297.406565,30.051751,215.813105,57.032229
Business receipts,16064.645271,45.690873,15.010476,236.87587,127.709209,284.018278,2589.944412,3636.569139,2544.044439,2235.552237,405.53577,630.341562,114.504357,141.659792,1478.891618,37.822249,71.986891,516.619891,163.268389,216.338983,29.670582,275.988073,26.200466,186.431921,53.612561
Interest income,944.011383,0.116475,0.063594,2.049793,0.802607,0.535715,58.430344,22.676885,10.170367,4.169383,0.833795,5.792813,222.316803,64.854681,179.912115,1.377443,1.420203,2.458497,360.459255,0.57807,0.046605,1.711369,0.502536,1.197216,0.138271
Nontaxable interest income,23.708585,0.005612,0.003267,0.006466,0.009005,0.035639,0.332643,0.032199,0.092072,0.073039,0.018044,0.079188,2.189184,0.584535,10.977001,0.025812,0.020052,0.02429,9.133086,0.015296,0.001584,0.02779,0.004586,0.002483,0.012654
Rents,75.131637,0.987576,0.039166,1.656498,0.30196,0.821913,23.976372,2.655425,8.718148,2.622278,1.178843,4.758228,0.956377,0.705297,4.259185,1.183493,0.231074,0.52,17.678722,0.145974,0.04465,0.65857,0.176269,0.666665,0.109629
Royalties,164.661598,0.365493,0.015729,1.149027,0.022547,0.122773,51.146944,47.937581,7.747053,5.487727,1.93135,28.454796,1.510915,0.263668,0.272386,0.68125,2.768776,4.287374,2.413466,0.862783,0.086701,0.076013,0.13385,6.733545,0.163748
Net short-term capital gain reduced by net long-term capital loss,8.205015,0.006913,0.009347,0.082153,0.007231,0.036478,0.161775,0.103483,0.200957,0.081433,0.015707,0.134571,0.258066,0.660567,5.039693,0.117829,0.016661,0.063261,0.960993,0.164281,0.00085,0.01603,0.001721,0.011041,0.001187
