items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,2228.815666,3.556696,0.654652,22.953586,22.320621,33.35693,162.984106,71.284251,84.409743,58.971687,31.132705,82.019047,120.196418,311.628056,136.246482,17.934974,6.512859,41.835286,958.037455,11.400757,2.468052,9.479488,3.865369,14.532152,8.066866
Inventories,987.321972,3.99365,0.57479,10.687382,23.294045,72.748148,227.732965,170.168276,190.880055,233.99313,4.723134,25.950133,0.180578,0.571092,0.851936,0.24719,1.953815,7.255963,0.259572,1.199307,0.190213,0.858378,0.502728,4.791741,3.259111
Land,224.099684,7.357192,0.312173,4.101579,2.332813,9.524841,19.857584,20.723764,25.232593,41.474669,6.595837,10.885847,3.153246,1.963999,1.773011,16.772689,0.968523,1.36576,15.412336,1.838782,0.277466,2.294389,3.001453,22.888701,3.9273
Total receipts,18000.037252,39.1323,9.756064,284.227437,530.367758,555.493824,2435.565418,3294.849067,2259.189412,2043.497834,432.462327,920.13153,494.682066,579.660148,1715.408832,64.037415,85.691543,422.245139,1053.633019,195.32346,17.187816,233.099998,32.901528,226.098197,60.089364
Business receipts,14895.902169,32.987551,8.780226,251.694596,495.165277,540.048576,2171.672093,3061.962142,2192.429854,1980.243363,396.488831,751.2238,94.166467,172.562742,1356.806001,41.33914,72.169205,397.225246,176.174774,186.297104,16.479953,221.240235,28.236518,194.084605,56.30293
Interest income,1844.923789,0.282312,0.101979,4.523595,8.670422,2.715711,88.526639,48.373516,16.005459,9.498006,3.770219,39.92927,359.448207,340.975822,196.202485,2.26657,2.453772,5.882287,695.887565,1.642118,0.113218,1.255264,0.36739,3.860089,0.734141
Nontaxable interest income,28.097258,0.021069,0.00042,0.068564,0.317133,0.067584,6.306563,1.573682,0.329383,0.557551,0.091596,0.64137,3.10137,1.904928,4.012628,0.063913,0.241748,0.262704,7.483747,0.160749,0.043545,0.118962,0.015246,0.048517,0.018833
Rents,71.722011,0.610517,0.063559,0.502681,2.630875,1.145789,8.996466,4.519584,3.75247,2.790674,1.466813,12.207283,0.93224,1.856901,4.465271,1.454867,0.259116,0.369237,21.806158,0.235442,0.013324,0.395452,0.16981,0.941572,0.082281
Royalties,134.551492,0.094021,0.004152,1.184209,0.07449,0.23873,47.50963,33.853905,4.904689,6.112873,2.24617,22.691584,0.185407,0.147993,0.65498,0.342358,1.620431,5.06122,0.305199,0.667092,0.0,0.037067,0.111421,6.139998,0.18907
Net short-term capital gain reduced by net long-term capital loss,6.370795,0.012105,0.003058,0.136406,0.188705,0.054482,0.294895,0.287493,0.370161,0.087909,0.260135,0.18596,0.038631,1.738876,1.433173,0.303526,-0.077294,0.041434,0.710204,0.024192,0.0,0.097552,0.068408,0.041989,0.009576
