items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,498.722089,6.018067,2.774705,10.331941,0.937203,55.866694,32.467956,17.372629,42.024214,42.517092,10.429898,11.958609,16.780236,59.483263,7.693821,27.072494,3.240243,43.878278,43.275731,13.350214,3.072045,20.378294,7.148508,12.878878,7.344334
Inventories,435.70317,8.52294,2.231699,1.751829,0.158729,32.372229,57.325687,35.74838,127.184283,149.678314,2.028767,1.185468,1e-06,0.005968,0.0,0.25677,2.88717,4.200902,0.007428,2.037908,0.264518,0.634323,1.179971,2.637905,3.401897
Land,131.221735,11.582483,1.564194,1.733945,0.163813,15.113251,4.287749,2.647653,5.304343,12.568207,1.848088,1.150029,0.659576,0.756032,0.120599,49.84039,0.434825,2.091047,2.238477,1.511866,0.163916,1.454455,2.580129,8.66284,2.743255
Total receipts,6572.866128,81.236219,37.01997,57.736936,7.637126,798.269893,469.134898,348.942467,1388.945656,1328.734895,237.475321,81.101131,42.981829,44.80438,40.725975,74.143139,31.673063,493.01524,33.293771,231.672155,27.93952,299.049651,64.187991,221.831667,130.789992
Business receipts,6427.05709,71.47651,35.509124,53.599444,7.471611,791.983108,463.373096,345.869939,1378.413957,1306.92662,232.858886,79.386556,30.302613,42.345287,39.976866,67.583036,29.061722,483.707547,9.682887,229.237347,27.803086,291.152172,62.065139,218.97857,127.918009
"Net gain, noncapital assets",18.863175,0.638323,0.127181,1.124097,0.013209,1.320629,1.18708,0.682853,1.524572,0.960134,1.406597,0.135475,4.667169,0.212174,0.104755,0.550254,1.477664,0.4307,0.776719,0.356595,0.033024,0.253955,0.093707,0.457871,0.3273
Other receipts,124.835602,9.098904,1.378085,2.987005,0.152271,4.720447,4.527537,2.350408,8.950312,20.791161,3.202052,1.538964,7.581248,2.187823,0.641736,5.937209,1.129971,8.858147,21.920923,2.062281,0.101284,7.637599,2.020163,2.388167,2.539999
Total deductions,6192.398601,76.954847,34.667975,47.095409,7.068978,763.921442,433.848093,328.741088,1342.826358,1296.554111,227.575307,74.649144,32.393605,37.523106,33.790628,66.519808,28.49691,434.936636,20.475002,217.537563,25.757448,265.485786,59.626629,212.187465,123.240432
Cost of goods sold,3979.469222,34.63805,21.314504,23.756882,5.254417,589.069016,316.169373,248.783082,1135.492561,1049.882542,94.836422,31.020458,0.0,0.0,0.0,3.071207,10.902461,137.761116,0.000956,94.515965,3.836421,24.348514,14.851505,86.335002,53.533494
Compensation of officers,247.064024,0.993389,0.733392,1.483357,0.188631,24.944195,12.988259,7.038689,21.464993,17.991048,9.840782,4.639479,2.397879,4.840862,5.870524,6.982106,1.003168,48.441404,2.165837,9.387339,1.578679,38.726184,9.545282,6.089219,7.703535
Salaries and wages,686.31071,6.037685,3.251054,4.68937,0.391124,41.928667,34.992666,21.951772,71.234479,85.120684,28.539255,13.02751,9.80807,13.783698,12.208622,23.159346,3.835751,97.89218,4.467197,53.389064,7.755986,78.111973,10.579471,39.585186,20.46249
Repairs,40.699195,1.742206,0.823982,0.935151,0.063221,3.169911,2.302368,1.735928,3.700928,4.909493,5.007143,0.535757,0.226035,0.180668,0.258683,1.129272,0.804626,2.107698,0.368423,1.834357,0.382722,2.531224,0.85103,3.85096,1.243482
Bad debts,12.2388,0.018434,0.046513,0.041376,0.018732,1.20282,0.931621,0.336724,1.818483,0.811783,0.191109,0.144329,2.664398,0.072283,0.06039,0.347898,0.10398,0.51415,1.316791,0.346204,0.173662,0.514319,0.127617,0.19098,0.220878
Rent paid on business property,166.243987,3.939101,0.614624,1.383378,0.110859,13.863551,7.618392,5.382952,14.455061,25.923809,10.640537,2.292725,1.10713,1.787873,1.876223,3.9627,1.594047,15.901466,0.325255,5.168457,2.476529,17.070413,2.996146,16.386876,9.353976
Taxes paid,132.504653,1.339807,0.721884,1.59907,0.097772,13.809156,8.80385,6.379006,14.101407,16.686119,5.951527,2.16996,1.136104,1.004738,1.434049,2.921198,0.722119,14.509718,0.862019,9.777918,0.968577,11.39746,2.098228,9.445311,4.558239
Interest paid,42.756599,1.130319,0.243502,0.657692,0.060879,3.165817,2.730059,2.112246,4.653153,4.990952,1.820843,1.329875,2.865907,1.064989,0.419105,1.377694,0.60339,2.033707,3.477477,1.135562,0.147086,1.981768,0.765356,2.814525,1.15319
Amortization,10.552965,0.153454,0.039405,0.160341,0.036202,0.264524,0.617712,0.490244,1.236378,1.273811,0.227531,1.101979,0.15834,0.184302,0.41394,0.147885,0.137002,0.732484,0.46203,0.332238,0.043875,0.684926,0.318937,0.888339,0.447071
Depreciation,82.560798,3.108215,1.127574,3.184326,0.194436,7.813026,8.02684,6.299558,7.10951,8.171998,8.773646,1.764099,0.434469,0.632373,0.288167,1.409435,4.49732,3.232375,0.590285,3.137731,0.438789,3.252656,1.330163,5.476387,2.264241
Depletion,0.81362,0.00991,0.00574,0.380971,0.0,0.030709,0.21784,0.091163,0.001158,0.019524,0.002077,0.0,1e-06,3.9e-05,0.00023,0.005762,0.0,0.032109,0.000276,0.01467,0.0,0.0,0.0,0.00144,0.0
Advertising,52.397079,0.160682,0.04114,0.09473,0.015329,2.483032,2.510763,3.434263,5.342628,12.773565,0.531495,1.278013,1.17722,0.637639,0.695574,1.504364,0.260224,5.735958,0.236043,2.283276,0.934592,2.645948,1.018663,5.103441,1.495579
"Pension, profit sharing, stock, annuity",26.243096,0.092369,0.050478,0.208028,0.011948,2.239283,2.400541,1.321057,2.833195,1.385539,0.605046,0.570097,0.179539,0.824003,0.500121,0.560984,0.064674,5.063657,0.320237,0.9365,0.124565,4.958172,0.509216,0.196842,0.286727
Employee benefit programs,61.465956,0.388318,0.179588,0.643862,0.037014,9.169189,6.682208,3.874212,6.327202,6.059534,3.240356,1.314994,0.479299,0.897312,0.748248,1.130478,0.290854,7.264546,0.709756,3.719049,0.408613,4.517921,0.552283,1.394577,1.430825
"Net loss, noncapital assets",1.77877,0.003053,0.000223,0.010496,0.000121,0.147636,0.066674,0.056485,0.056322,0.382336,0.016126,0.010392,0.131986,0.002763,0.000722,0.157947,0.003018,0.148153,0.371906,0.007817,0.004131,0.030152,0.006047,0.041523,0.030629
Other deductions,649.299127,23.199854,5.47437,7.866381,0.588293,50.620911,26.788922,19.453709,52.998899,60.171373,57.351411,13.449477,9.627228,11.609565,9.01603,18.651533,3.674275,93.565917,4.800514,31.551417,6.483222,74.714158,14.076684,34.386856,19.056075
Total receipts less total deductions,380.467527,4.281372,2.351995,10.641527,0.568148,34.348451,35.286805,20.201379,46.119298,32.180784,9.900014,6.451987,10.588224,7.281274,6.935347,7.623331,3.176153,58.078603,12.818769,14.134592,2.182071,33.563865,4.561362,9.644202,7.54956
Net income,378.357265,4.258889,2.346414,10.615136,0.568113,34.102742,35.23962,20.162114,46.062484,32.123804,9.892228,6.411851,10.157424,7.222178,6.932729,7.55069,3.172447,58.059757,11.905527,14.11866,2.179946,33.55794,4.55238,9.637142,7.544876
