items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,385.242478,3.778702,1.975654,9.002853,1.104401,68.747957,26.242481,12.583319,34.452537,35.129756,8.440803,8.136363,10.72249,32.220342,6.694855,23.299205,2.828189,31.750555,21.273771,9.850227,1.888344,13.096832,5.6224,9.543838,5.609684
Inventories,423.887071,6.279969,1.471115,1.635806,0.546965,65.799374,52.57634,29.523394,106.433946,141.983641,1.558445,1.370196,0.000375,0.426494,0.0,0.278301,1.699282,3.817003,0.060126,1.376709,0.139542,0.654387,0.997162,2.26928,2.974458
Land,126.12567,10.213633,1.471186,1.656809,0.156395,20.99295,3.858251,2.103165,4.504601,10.729178,2.013184,1.162896,0.980948,0.709628,0.071671,44.416237,0.477625,1.939804,1.974071,1.415027,0.128209,1.225057,2.586102,8.824321,2.463929
Total receipts,6126.386899,61.472854,24.721727,55.110212,11.455367,931.506474,448.030067,312.569042,1247.815181,1215.279186,210.925629,86.104429,32.58622,61.749683,39.771231,68.519534,30.862839,422.581271,27.972006,212.749969,18.413938,249.646248,53.309039,184.58281,117.267961
Business receipts,6013.292245,56.152215,24.148095,51.232866,11.276806,923.249121,442.916125,309.970931,1238.170066,1199.751113,207.126417,83.512989,24.369528,58.580584,38.449523,66.140127,29.151776,414.82722,10.474395,210.604046,18.190935,244.869934,51.045605,182.353463,115.902669
"Net gain, noncapital assets",11.956314,0.294581,0.269853,1.235501,0.018628,1.363953,0.794502,0.443554,1.159093,0.758456,1.236999,0.166785,0.304842,0.088474,0.262016,0.702858,0.915982,0.425304,0.226118,0.39706,0.000805,0.245002,0.07669,0.312611,0.25261
Other receipts,98.909342,4.984228,0.299384,2.600812,0.152588,6.739011,4.20386,2.08367,8.377838,14.682218,2.535816,2.30293,7.79021,2.984841,1.052215,1.533331,0.779136,7.181215,16.480611,1.7217,0.220281,4.522578,2.17142,1.907309,1.081572
Total deductions,5884.131516,61.401702,24.008066,43.830467,10.999366,897.825867,424.127179,301.557483,1213.448226,1205.525384,204.714012,83.138622,29.931529,54.621586,33.863271,68.88105,30.309245,380.438702,25.673119,202.374959,16.704051,222.864817,50.709634,182.210873,113.813035
Cost of goods sold,3788.53758,27.011998,12.763733,23.109578,9.313098,694.427693,306.317486,222.688742,1014.242226,960.09638,81.45597,32.95308,0.140461,0.013872,0.384096,3.87721,11.054327,132.296383,0.127711,98.622077,2.855203,25.336008,9.574633,71.159397,48.485662
Compensation of officers,231.091693,0.775746,0.655323,1.510769,0.156774,28.053727,12.102292,6.576688,20.486692,17.103187,7.052664,4.949197,1.444898,9.412381,5.705586,6.743037,1.122415,44.619608,2.066321,8.747655,0.972224,32.69649,4.964586,5.698769,7.267621
Salaries and wages,618.226025,4.274028,2.185532,3.466274,0.358209,48.571779,32.588378,21.137006,67.733111,81.225798,26.423347,15.727072,8.104614,14.351716,13.088347,24.84618,3.547998,75.935639,4.0169,42.471823,4.821912,62.208034,10.077902,33.029997,17.954002
Repairs,37.331809,1.321424,0.64161,0.691335,0.039372,3.599832,2.170148,1.688557,3.425285,4.920144,4.172318,0.628705,0.232356,0.16594,0.298793,0.894294,0.659102,2.018282,0.39423,1.515812,0.221189,2.315909,0.724916,3.379561,1.209347
Bad debts,15.903851,0.020387,0.105037,0.051713,0.016744,2.371134,0.964296,0.581108,2.052022,1.198694,0.28929,0.374065,3.03073,0.17847,0.09869,0.388543,0.129999,0.69758,1.978773,0.460675,0.0988,0.453437,0.054937,0.103588,0.200133
Rent paid on business property,159.392195,3.112882,0.398009,1.368419,0.074648,15.331691,8.377861,5.410133,14.076862,26.092019,11.285449,2.792677,1.419174,1.846299,1.895621,3.616533,1.719578,13.880959,0.318603,4.879562,1.60115,14.742393,2.899572,13.718658,8.515194
