items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,135.408713,1.556732,0.833421,2.215708,0.427837,23.319716,12.507155,6.436727,14.106944,17.568801,2.823691,3.510035,3.74845,2.57417,3.477238,4.39164,0.802702,12.064478,5.357843,3.650319,0.64567,3.527676,1.954788,1.229218,3.019914
Inventories,199.259418,1.803861,0.529104,0.323767,0.198634,23.077402,28.508178,14.668155,50.011495,72.85999,0.481895,0.807856,0.0,0.0,0.0,0.053612,0.521614,1.386259,0.003436,0.332554,0.045752,0.240979,0.370891,0.112681,1.761539
Land,30.122116,3.451776,0.188592,0.318329,0.056042,5.067402,1.967375,1.048729,1.905598,4.102397,0.495921,0.341003,0.143185,0.096008,0.108096,4.472035,0.19106,0.442491,0.322823,0.415029,0.080337,0.493376,1.083957,1.467652,0.600043
Total receipts,2851.496569,25.235007,11.481679,14.925144,3.269909,431.724413,263.44145,159.574798,549.089407,646.815641,62.712195,39.490602,14.743765,22.926597,24.728833,43.622272,11.518062,180.769331,11.482004,83.38383,7.046481,72.257791,19.92094,12.941035,60.419041
Business receipts,2797.189353,23.443209,11.016888,13.704521,3.176608,427.976513,261.099999,158.009207,544.284363,637.952698,61.666875,37.389555,11.220577,21.067576,24.416875,41.351015,10.983747,176.709559,4.090606,82.32813,6.94706,70.948371,18.931341,11.889823,59.91664
"Net gain, noncapital assets",4.319813,0.09342,0.113268,0.162075,0.003973,0.473745,0.354152,0.204804,0.240702,0.459138,0.606596,0.265481,0.059664,0.058603,0.002052,0.118877,0.302464,0.118409,0.030815,0.10849,0.000931,0.036049,0.15238,0.027264,0.171433
Other receipts,49.056133,1.68906,0.349981,1.037836,0.087504,3.206022,1.904626,1.311118,4.452706,8.364449,0.429495,1.784964,3.375232,1.761191,0.305382,2.13714,0.225786,3.915009,7.109407,0.928237,0.097471,1.269625,0.827738,1.020201,0.325011
Total deductions,2650.738244,23.15169,10.489258,11.444167,3.036494,404.341158,241.529328,148.985541,526.145068,627.034109,58.567919,33.164569,12.174217,17.713245,21.195465,36.533729,10.205835,156.068837,7.901339,76.68089,6.251174,61.791825,16.773948,11.712381,55.588967
Cost of goods sold,1775.535716,13.026113,6.811003,6.356706,2.17861,317.665058,173.79304,106.367045,429.099621,506.349839,24.225209,11.790449,1.047867,1.736271,4.493126,8.668433,3.39656,55.102015,0.146048,33.069519,1.477869,6.777375,4.153468,2.82594,23.966782
Compensation of officers,109.529649,0.392558,0.392583,0.317426,0.046668,13.114604,8.098732,4.56589,11.432444,9.948105,1.930896,3.38848,0.811278,4.837409,3.259399,3.380517,0.373916,19.05806,0.588446,3.639552,0.374406,11.191231,1.370699,0.474466,4.057149
