items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,396.962696,4.158501,2.300925,8.289617,0.97921,63.646861,25.753315,12.156491,36.985549,35.930553,7.961681,8.761195,11.401842,31.67324,6.957774,22.743238,2.900793,32.847739,28.272714,10.416316,2.339965,14.978154,5.657291,9.566834,5.783023
Inventories,362.959063,6.37424,1.348188,1.621083,0.346782,49.522988,42.037906,23.410517,96.691929,115.686052,1.574286,1.491604,0.000418,0.667823,0.0,0.170358,1.67627,3.483866,0.060509,1.308815,0.165559,0.639497,0.946548,2.310312,2.996218
Land,129.332605,10.922749,1.27834,1.586422,0.146985,19.21189,3.748337,1.969013,4.447706,11.01018,1.878274,1.217132,0.879657,1.567011,0.090664,47.984892,0.557097,1.941274,1.977219,1.498652,0.122126,1.092584,2.556429,8.521669,2.441513
Total receipts,5392.866853,58.301921,22.400771,41.075095,7.120333,742.83944,312.071548,251.282109,1075.814431,1058.898478,175.061342,85.922338,28.526618,40.810612,37.597539,63.735255,27.096341,445.986917,31.611918,189.604223,20.301814,267.629091,47.143071,185.203085,110.731298
Business receipts,5285.451212,52.50312,21.725707,38.563166,6.946078,735.473507,308.718872,249.405108,1068.006459,1043.429168,171.961438,84.296682,21.580894,38.743385,36.130678,60.87399,25.352117,438.851697,10.959577,187.340747,19.916916,262.082148,44.775458,183.760301,109.188751
"Net gain, noncapital assets",10.326749,0.295921,0.067113,0.421583,0.000356,1.063667,0.676106,0.297664,0.972795,0.909372,0.92891,0.186217,0.726235,0.57205,0.026082,0.537141,0.818396,0.391802,0.468471,0.45574,0.001527,0.141031,0.051421,0.126163,0.156876
Other receipts,95.389555,5.466533,0.706876,2.053624,0.172992,6.152769,2.617093,1.533145,6.7604,14.516993,2.159059,1.370653,6.108506,1.429454,1.437315,2.251337,0.919278,6.716235,19.378241,1.782779,0.382572,5.403909,2.306338,1.312005,1.381015
Total deductions,5170.27835,58.815987,21.549002,35.984229,6.742835,718.411103,297.013577,239.092738,1046.243433,1045.433419,170.268011,82.567896,25.815509,35.884002,31.836883,64.130444,26.250093,404.732956,26.600437,179.897249,18.276206,237.917869,44.69562,182.326385,106.412128
Cost of goods sold,3198.265692,22.649673,11.711824,18.81573,5.122681,544.414498,201.638607,173.293484,861.663544,815.478751,64.985285,35.240316,0.011831,0.052151,0.054089,2.793246,9.059764,156.224907,0.32552,77.838062,3.090988,24.043456,9.264146,69.700839,43.465775
Compensation of officers,219.131894,0.727034,0.663306,1.218698,0.149187,24.325797,10.186941,5.409887,19.379246,16.123065,8.933847,4.322049,1.480278,5.331685,5.62587,6.552924,0.940608,42.120207,1.975086,8.496419,1.166393,34.982909,4.70242,5.644426,7.190661
Salaries and wages,596.509858,4.996452,2.063268,3.008141,0.390656,41.879498,27.014041,17.526479,63.02277,76.117492,24.28211,14.089147,7.158302,14.483771,11.858124,23.004228,3.340772,79.378533,4.069066,41.654924,5.159822,66.907914,8.595741,34.349713,17.614538
Repairs,34.661233,1.498249,0.523458,0.457481,0.054561,3.008841,1.460188,1.533835,3.177781,4.703892,3.936258,0.586816,0.218393,0.140037,0.278178,0.938918,0.765544,1.759176,0.341701,1.467179,0.256532,2.188387,0.621046,3.385787,1.099377
