items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,421.344295,4.721235,1.988411,8.855444,1.435686,56.399047,29.223209,15.688955,37.345141,37.507678,8.08479,11.187549,13.925715,40.38673,7.163696,23.086131,3.087222,36.673038,31.524624,11.346426,2.461608,16.741443,5.58214,10.052891,6.443058
Inventories,383.829461,7.218179,1.439841,1.609887,0.272757,41.63185,49.162187,30.915059,107.79602,125.606097,1.981897,1.262502,1e-06,0.479087,0.0,0.219943,1.768379,3.80132,0.010165,1.474211,0.128262,0.632339,1.017358,2.404061,2.993162
Land,128.93834,11.077311,1.393894,1.484274,0.175509,16.387346,4.115201,2.510911,4.484799,10.978138,1.940605,1.090493,0.736072,1.636196,0.098974,48.820856,0.572944,2.367698,2.093092,1.608672,0.172457,1.404175,2.659345,8.544745,2.535889
Total receipts,5684.431238,64.887036,24.839599,43.460489,8.706836,702.478347,386.116607,307.98173,1183.701878,1140.237159,198.696655,73.751062,29.275726,43.683695,37.649723,62.402424,28.085505,445.753377,29.947848,203.192396,21.826685,282.402057,49.574946,195.51992,119.622861
Business receipts,5567.202247,56.663438,24.009671,40.036203,8.525338,694.756287,381.650356,305.047605,1175.21826,1123.38292,195.535422,71.974346,21.006421,40.258742,36.590803,59.988616,26.306264,437.950473,10.181707,201.140396,21.406107,276.265806,47.561079,193.556269,117.961223
"Net gain, noncapital assets",12.826927,0.393205,0.118263,0.904355,0.024348,1.629577,0.743912,0.469575,1.012808,0.858283,0.957681,0.155928,1.34245,0.335562,0.176681,0.533635,1.118679,0.296137,0.57341,0.356552,0.097443,0.150807,0.132928,0.284031,0.155672
Other receipts,102.590145,7.802921,0.710842,2.4877,0.134886,5.819227,3.673777,2.391373,7.40394,15.950311,2.192804,1.571278,6.819114,3.027232,0.878203,1.817992,0.655095,7.480914,18.360275,1.679548,0.321639,5.981582,1.871618,1.674996,1.499086
Total deductions,5413.607772,63.808761,23.36995,36.251453,8.270228,681.428999,361.480067,289.673389,1147.508318,1121.280827,192.328958,69.528134,25.045931,35.511452,31.934844,59.691575,27.101656,401.805178,23.091295,191.675586,19.54912,251.860806,46.674057,190.172349,114.15368
Cost of goods sold,3405.244877,27.401829,12.917747,17.361202,6.514835,517.168442,257.237625,213.294948,957.108781,890.789643,76.916839,25.237801,0.00701,0.014434,0.0,3.227712,9.832374,142.25879,0.000233,88.879495,2.977966,24.007109,10.673278,73.556987,47.810062
Compensation of officers,221.710205,0.821243,0.652832,1.181854,0.17784,22.930026,10.900091,6.474047,20.453283,16.296012,9.014487,4.966271,1.511529,4.640398,5.386423,5.939928,0.938017,46.006248,2.051896,8.348644,1.121298,34.291687,4.040164,5.895402,7.638607
Salaries and wages,610.707675,4.782696,2.026976,3.516888,0.396327,38.916764,29.433545,20.550094,65.155916,77.642388,25.916457,12.968526,6.94953,14.040055,11.68699,21.649428,3.368923,83.381687,4.053142,40.366987,5.958528,74.200025,8.530361,36.126838,19.017827
Repairs,36.197752,1.568346,0.581507,0.601276,0.04781,2.939044,1.887382,1.741288,3.306522,4.639758,4.181525,0.527902,0.220607,0.128143,0.290706,0.937853,0.764548,1.853562,0.355288,1.6252,0.271989,2.490211,0.745978,3.38781,1.099947
Bad debts,15.727284,0.08158,0.013547,0.056312,0.014265,1.531769,0.849988,0.380714,2.167253,1.122456,0.370547,0.330239,2.628305,0.113877,0.09695,0.592166,0.152077,0.83824,2.606449,0.414177,0.167637,0.68128,0.155955,0.133524,0.209344
Rent paid on business property,156.757769,3.850122,0.369339,0.953974,0.073378,12.420921,7.154138,5.182184,14.391526,25.252244,10.339303,2.343031,1.042258,1.992155,2.034488,3.00949,1.184777,14.782435,0.329093,4.961239,1.650001,16.623767,3.102236,14.993358,8.711422
Taxes paid,116.004085,1.14789,0.44783,1.373966,0.098927,12.432256,7.512551,5.763457,11.455252,14.703388,5.359051,2.04311,0.908119,1.872236,1.291421,2.280165,0.880921,12.691715,0.748018,7.545775,0.811106,10.392462,1.695054,8.456708,4.079739
Interest paid,47.561234,1.259713,0.278014,0.634252,0.062587,3.709217,2.905876,2.134528,4.553935,5.389446,1.971394,1.518513,3.131569,1.156802,0.464881,1.586563,0.898604,1.929893,5.554699,1.201301,0.141018,2.031999,0.8991,2.899357,1.23856
Amortization,10.146606,0.100248,0.032274,0.176681,0.015465,0.258696,0.562512,0.447453,1.035139,1.205177,0.218923,1.097135,0.194182,0.182303,0.440543,0.27766,0.101207,0.624529,0.478609,0.284918,0.092206,0.620916,0.344949,0.860877,0.493246
Depreciation,89.426819,2.999827,1.044487,2.682326,0.179764,9.720401,8.680153,7.391326,7.610137,9.026618,8.218988,2.136289,0.436209,0.658437,0.382448,1.537057,4.70921,3.883027,0.696302,3.246245,0.420322,3.712739,1.831946,5.850494,2.367117
Depletion,0.55512,0.03075,0.006616,0.292147,3e-06,0.029848,0.139061,0.040753,0.00103,0.002796,0.002634,0.0,0.0,0.000683,9.8e-05,0.000646,0.0,0.003292,2.9e-05,0.004539,0.0,0.0,0.0,0.000196,0.0
Advertising,49.149598,0.148444,0.036051,0.065079,0.006827,2.315999,2.488499,3.359648,4.892603,12.033198,0.587975,1.409932,0.733108,0.744019,0.628374,1.509593,0.320819,5.038816,0.217679,2.115674,0.7295,2.463886,0.924388,4.699363,1.677103
"Pension, profit sharing, stock, annuity",22.76951,0.083915,0.02232,0.157005,0.009632,2.212414,1.999857,1.187095,2.421408,1.093265,0.461901,0.580904,0.100391,0.884805,0.473381,0.484145,0.077614,4.398923,0.241592,0.762468,0.074731,4.145118,0.364592,0.136848,0.394065
Employee benefit programs,55.255757,0.514724,0.137738,0.522122,0.029265,8.176598,5.851879,3.469028,5.771496,5.663653,2.762952,1.159173,0.445521,0.960925,0.711148,0.811692,0.275023,6.276314,0.651023,3.310606,0.365908,4.208282,0.455481,1.442656,1.276136
"Net loss, noncapital assets",2.077855,0.003948,0.000639,0.03884,0.000209,0.376997,0.060824,0.045512,0.144467,0.451201,0.025623,0.009081,0.099851,0.092219,0.029005,0.131698,0.047818,0.048097,0.325994,0.017261,0.013459,0.028724,0.005395,0.075514,0.005479
Other deductions,574.315625,19.013485,4.802037,6.637529,0.643093,46.289607,23.816082,18.211313,47.039571,55.969584,45.980359,13.200227,6.63774,8.029959,8.017989,15.715779,3.549726,77.789611,4.781249,28.591058,4.753452,71.9626,12.905179,31.656416,18.135027
Total receipts less total deductions,270.823466,1.078275,1.469648,7.209036,0.436608,21.049349,24.636542,18.308338,36.19356,18.956331,6.367697,4.222928,4.229795,8.172243,5.714879,2.710849,0.98385,43.9482,6.856552,11.51681,2.277566,30.541251,2.900889,5.347572,5.469181
Net income,269.011547,1.050803,1.468826,7.176805,0.414344,20.776093,24.587978,18.235163,36.126691,18.910687,6.356949,4.173417,4.122054,8.110084,5.710843,2.648669,0.978383,43.922347,6.024097,11.50091,2.276069,30.53739,2.891568,5.342947,5.462301
