items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,367.840291,3.060227,2.028023,8.361287,1.047305,43.390225,26.610826,13.996185,34.005,34.073954,7.30642,6.552764,12.046473,46.633492,6.547746,8.692233,1.669378,32.891561,28.953009,10.288698,2.332308,16.878782,5.178684,9.459878,5.607126
Inventories,311.654424,5.070166,1.234739,1.043334,0.212556,14.999017,43.56046,26.058077,101.786799,104.151305,1.196165,0.783137,1e-06,0.330249,0.0,0.173769,1.702297,2.606711,0.009579,1.319244,0.172005,0.466255,0.69755,1.782086,2.293938
Land,52.145967,4.915435,0.466593,1.002672,0.125196,5.748204,2.692421,1.684912,3.525911,7.330394,0.979093,0.433619,0.414542,1.201645,0.096553,8.365277,0.225215,1.605036,1.256355,1.253701,0.151324,1.134442,0.888329,5.216458,1.383592
Total receipts,5055.620476,51.124968,22.317433,45.962917,7.707948,584.985454,361.353154,267.439377,1130.492304,1005.090116,166.648069,62.445894,26.131445,43.583151,38.70459,50.758857,18.317883,394.372016,28.282613,189.142958,19.632716,245.297987,41.176111,156.046191,98.139507
Business receipts,4940.430764,43.24839,21.479778,42.55288,7.552959,579.125726,357.267404,264.615716,1122.811518,989.92163,162.54739,60.587976,18.729145,38.71063,37.641856,47.062972,16.855626,386.673529,9.041038,187.181311,19.378133,238.176523,39.006318,154.263977,95.806425
"Net gain, noncapital assets",12.081894,0.268174,0.057998,0.592595,0.020143,1.042852,0.844476,0.779653,0.857432,0.726765,1.224329,0.431007,1.357144,0.140435,0.155225,0.569067,0.768747,0.358296,0.571777,0.352419,0.11849,0.410176,0.050368,0.183655,0.197437
Other receipts,101.827899,7.596742,0.777689,2.797494,0.134811,4.718442,3.201599,2.012058,6.782372,14.393974,2.868938,1.385562,5.948893,4.690107,0.906006,3.104874,0.691742,7.318995,17.973265,1.600981,0.133655,6.704095,2.111491,1.582059,2.131754
Total deductions,4675.568791,45.94243,20.245561,35.154889,7.237006,548.644393,329.723032,248.545403,1085.231546,974.327802,156.475171,54.577128,20.003169,31.615296,31.336926,40.420467,15.668833,341.58898,15.743584,174.687605,17.131999,211.143326,35.14026,145.384108,89.414608
Cost of goods sold,3039.902871,18.993564,12.160805,17.767793,5.780164,425.212524,243.230214,187.502578,920.742569,794.055292,60.883588,25.884109,0.0,0.0,0.0,1.602249,6.779019,111.221347,0.007764,81.965318,2.753724,18.391782,7.596729,59.603483,37.717026
Compensation of officers,193.356023,0.593702,0.499703,1.298207,0.164446,17.921683,9.669139,5.393593,18.53068,13.072518,8.171117,3.281112,1.595956,4.217499,5.348901,4.556337,0.567924,39.325261,1.691215,7.549305,1.139754,31.272366,7.2799,4.252692,5.932341
Salaries and wages,502.390978,3.832651,1.455379,3.501221,0.340287,29.18502,24.989491,16.325141,56.762374,61.954225,19.98849,9.31002,5.713187,11.216394,11.353721,13.774504,1.977105,72.979557,3.183121,40.386665,5.068027,59.554572,5.775729,27.665865,16.052054
Repairs,28.806204,1.141646,0.543257,0.608757,0.042481,2.364217,1.552184,1.285035,2.738259,3.530708,3.556495,0.364484,0.156989,0.085903,0.271589,0.650104,0.361279,1.721873,0.287765,1.362734,0.261402,2.121149,0.298434,2.598904,0.899944
Bad debts,7.959455,0.006685,0.023218,0.04565,0.008757,0.666071,0.372696,0.2026,1.263414,0.762325,0.139132,0.129443,1.837113,0.008912,0.049275,0.057104,0.051929,0.334474,1.03253,0.236652,0.12903,0.406549,0.021726,0.0679,0.106239
Rent paid on business property,118.954888,2.280481,0.211568,0.748841,0.091454,9.137765,5.433215,3.865866,11.304732,18.615822,8.83535,1.501762,0.76621,1.068314,1.956675,2.434512,0.812081,12.200265,0.244773,4.064022,1.443841,12.97403,1.634741,10.844598,6.480822
Taxes paid,95.150123,0.763561,0.398691,1.167917,0.070535,9.605236,6.328162,4.353079,10.265338,12.020183,4.187098,1.317083,0.707464,1.028504,1.29829,1.533564,0.479871,11.102354,0.648781,7.734468,0.668588,8.842327,1.094258,6.296781,3.233917
Interest paid,28.729257,0.585936,0.138656,0.339081,0.036883,1.869486,1.85978,1.408012,3.333669,3.478499,0.986709,0.378897,2.230483,0.884163,0.414908,0.73865,0.349981,1.386424,3.165923,0.83589,0.078847,1.46971,0.341056,1.655044,0.761994
Amortization,6.949149,0.102443,0.017252,0.08151,0.032483,0.154423,0.426956,0.35234,0.851625,0.853937,0.155021,0.418931,0.103614,0.16141,0.340928,0.076963,0.051979,0.491383,0.445098,0.247869,0.022399,0.454831,0.253427,0.550227,0.301852
Depreciation,70.45775,2.049173,0.89639,2.679693,0.114772,7.12865,7.787861,6.480301,7.294666,7.239872,5.511637,1.37432,0.433712,0.647623,0.334099,0.901999,2.038215,3.518934,0.667136,3.065597,0.408973,3.461543,0.789533,3.91193,1.718503
