items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,183.245077,1.859177,1.364912,2.906306,0.39129,29.336448,13.320403,7.731587,18.77191,24.419973,3.834947,4.017872,7.75675,3.832292,5.791446,6.786803,1.016925,15.553132,10.245563,5.356877,0.879731,6.349007,2.817562,5.354897,3.288117
Inventories,237.997986,2.096606,0.331791,0.440662,0.178874,33.675168,24.226188,15.380629,56.474824,97.046506,0.570373,0.64749,0.003129,0.0,0.0,0.173174,0.688227,1.678281,0.01198,0.843409,0.098412,0.338154,0.238036,1.398779,1.405302
Land,35.0196,3.314818,0.272351,0.669646,0.037578,6.607629,2.027189,1.167147,2.320671,4.894308,0.521724,0.380107,0.243665,0.064901,0.06744,4.840293,0.137814,0.508261,0.680813,0.819398,0.102482,0.53886,1.00529,2.951747,0.841957
Total receipts,3322.729271,24.669425,14.811325,18.618557,4.706609,489.576986,224.519073,165.287272,632.288587,802.871398,92.483653,39.919826,34.822786,17.358653,32.357312,56.88214,10.378682,224.198609,16.52558,111.85418,9.232745,110.729464,25.098157,101.677638,60.795401
Business receipts,3253.623083,22.268254,14.148128,17.103835,4.610475,484.512609,222.404988,163.694538,625.260994,791.73285,91.014484,38.077249,27.23083,15.69572,31.844911,54.202188,9.802873,220.257802,6.037651,110.997037,9.174633,108.936223,23.607633,100.054759,60.278544
"Net gain, noncapital assets",5.389051,0.11041,0.07517,0.175579,0.013784,0.354767,0.357748,0.183598,0.368848,0.368539,0.650486,0.148658,0.914785,0.022237,0.010867,0.318566,0.279892,0.148504,0.226565,0.143714,0.010658,0.111527,0.133911,0.102904,0.157214
Other receipts,62.809024,2.280765,0.584696,1.324108,0.082169,4.659752,1.705081,1.362516,6.617091,10.736811,0.814785,1.655267,6.597485,1.60522,0.497791,2.33364,0.294941,3.780193,9.861974,0.689659,0.046623,1.678232,1.352702,1.508854,0.348105
Total deductions,3085.146592,22.653569,13.592629,13.898159,4.371046,457.990941,207.073513,153.729424,606.546457,777.724467,87.493715,33.845037,27.823229,13.14893,26.320592,47.292979,9.267358,194.788203,10.550809,103.182829,8.088803,93.603702,21.093861,94.547779,55.774167
Cost of goods sold,2024.156835,10.540621,8.309716,6.768673,3.713527,354.018976,145.171911,108.740254,496.062006,623.859012,40.111411,12.158283,1.655044,0.757497,3.629536,11.95632,2.918881,66.412221,0.015375,50.102135,2.056408,10.274196,3.958473,38.419948,22.322775
Compensation of officers,126.205468,0.526095,0.572531,0.348812,0.023294,15.230326,6.611201,3.917207,11.47051,11.226343,2.066055,2.759955,1.740004,2.793945,4.12147,4.400346,0.304791,24.591569,0.988444,4.890726,0.735908,16.303407,3.683721,3.063352,3.629932
Salaries and wages,329.242606,1.882921,0.965561,0.986311,0.120982,25.7164,17.00517,12.477911,38.802065,54.619657,12.517859,6.433492,9.90291,4.205339,9.368577,12.835593,1.403566,40.545595,1.946385,19.215683,2.1524,24.163819,4.091693,17.281397,10.529899
Repairs,18.505586,0.536521,0.287471,0.247381,0.010189,1.940338,1.073865,0.8825,1.916122,2.848111,1.478404,0.25378,0.202472,0.059201,0.187106,0.486648,0.193625,1.091261,0.18012,0.901395,0.088863,1.002423,0.296154,1.696362,0.644096
Bad debts,5.296468,0.012463,0.008621,0.015751,0.007334,0.442001,0.405853,0.249907,0.965936,0.79498,0.0917,0.16178,0.787943,0.009949,0.032342,0.077764,0.037343,0.231954,0.49368,0.116434,0.018043,0.187538,0.014834,0.044364,0.087212
Rent paid on business property,78.998752,1.274562,0.221331,0.35377,0.057776,7.107682,3.963466,2.851384,7.255991,14.436432,4.709166,1.466164,1.199664,0.582663,1.089162,3.372199,0.967101,7.307496,0.136208,2.559882,0.504996,6.20242,1.03372,6.700937,3.634749
Taxes paid,66.109029,0.464009,0.232499,0.567972,0.043224,7.752568,4.804053,3.205934,7.710926,9.992535,4.382014,0.93101,0.963074,0.4528,0.845077,1.145973,0.279918,6.380082,0.418443,4.075357,0.305194,3.802952,0.994692,4.329424,2.00722
Interest paid,23.605501,0.345056,0.122187,0.285814,0.03337,2.326203,1.518047,1.155721,2.464223,3.278029,0.702976,0.302238,2.216709,0.112719,0.219029,0.673903,0.269107,0.830506,3.163185,0.623748,0.034715,0.795307,0.299192,1.371453,0.452445
Amortization,3.70421,0.011372,0.015871,0.017307,0.008652,0.135797,0.244955,0.208957,0.436859,0.499454,0.061073,0.316867,0.093017,0.037146,0.171849,0.05198,0.029691,0.228436,0.118873,0.110262,0.007463,0.183056,0.186571,0.342483,0.185482
Depreciation,50.184951,0.999853,0.654807,0.965785,0.057589,6.680449,6.166846,4.734936,4.840413,6.199441,3.314458,1.137203,0.489086,0.162068,0.296404,0.74691,1.477209,2.31654,0.458807,2.101759,0.15093,1.633969,0.862858,2.468714,1.251215
Depletion,0.297108,0.003938,3e-06,0.179791,0.0,0.021126,0.069821,0.012522,0.003889,0.002314,0.00075,4.7e-05,3.5e-05,0.0,0.0,5.5e-05,0.0,3.6e-05,7.1e-05,1.1e-05,0.0,0.0,0.0,0.002698,0.0
Advertising,30.902636,0.080893,0.052791,0.014949,0.007127,1.51063,1.799067,2.248849,3.125932,10.294502,0.210129,0.530058,0.660905,0.15195,0.353006,1.133452,0.149319,2.071909,0.154596,0.962895,0.228908,0.985396,0.414507,2.703868,1.055579
"Pension, profit sharing, stock, annuity",14.116243,0.069032,0.052683,0.083825,0.003636,1.799589,1.223319,0.711639,1.648093,1.019919,0.276443,0.361652,0.16203,0.226984,0.446938,0.566107,0.02139,2.594491,0.119167,0.370373,0.07329,1.768924,0.280498,0.116094,0.110543
Employee benefit programs,28.608886,0.24493,0.087148,0.218435,0.007333,4.22533,3.303257,1.960017,2.975605,3.77368,1.35785,0.494611,0.38995,0.212556,0.499718,0.414318,0.10872,2.778416,0.295022,2.071,0.14541,1.194798,0.180483,0.815885,0.848947
"Net loss, noncapital assets",0.267256,0.000677,0.001695,0.000794,0.0,0.023638,0.00909,0.016295,0.01362,0.078949,0.020263,0.002076,0.005346,0.002212,0.002643,0.004626,0.012683,0.008973,0.010872,0.010716,0.001736,0.013283,0.000404,0.023528,0.002264
Other deductions,284.945059,5.660624,2.007716,2.84279,0.277011,29.059891,13.703596,10.355391,26.854267,34.801108,16.193163,6.53582,7.355037,3.3819,5.057733,9.426785,1.094014,37.398717,2.051562,15.070451,1.58454,25.092214,4.796061,15.167274,9.01181
Total receipts less total deductions,237.582679,2.015856,1.218695,4.720398,0.335563,31.586045,17.445559,11.557849,25.74213,25.146932,4.989938,6.07479,6.999557,4.209723,6.03672,9.589161,1.111324,29.410406,5.974771,8.671352,1.143942,17.125762,4.004295,7.129859,5.021234
Net income,236.674565,2.005861,1.215365,4.705363,0.335381,31.536187,17.394304,11.51123,25.700475,25.113733,4.986041,6.036137,6.919872,4.174248,6.032977,9.561415,1.110347,29.398297,5.575381,8.647581,1.143111,17.12228,4.000385,7.118737,5.009695
