items,ALL,FARM,FFRA,MINE,UTIL,CNST,DMAN,NMAN,WHTR,RETR,TRAN,INFO,FINC,FINS,INSU,REAL,LEAS,PROF,MGMT,ADMN,EDUC,HLTH,ARTS,ACCM,OTHS
Cash,236.100733,2.691128,1.730039,3.486677,0.577083,35.636697,16.361696,9.235007,22.470888,29.156929,4.96388,5.756668,8.569844,6.146796,6.354418,18.14847,1.838929,18.983849,12.894317,6.591902,0.977399,7.483866,4.065829,7.146231,4.063104
Inventories,309.619396,3.13923,0.560326,0.52289,0.312621,44.580165,34.09235,19.648443,68.808744,125.761889,0.82641,0.982308,0.003129,0.0,0.0,0.176433,0.868986,2.322548,0.014205,0.957222,0.105881,0.401161,0.742057,2.218532,2.283589
Land,83.644422,7.486396,1.07228,0.817819,0.100625,12.224447,2.876191,1.737095,2.862661,6.903488,0.966271,0.692413,0.306546,0.126501,0.073918,31.323908,0.399185,1.090687,0.934864,1.048976,0.154146,0.953405,2.203587,5.681798,1.601181
Total receipts,4232.565964,36.987642,19.268753,23.426004,5.52163,622.765814,299.943781,214.139237,750.217607,1004.603407,132.020951,55.363314,37.564646,24.516344,36.852795,69.885998,18.513808,283.874647,16.419782,146.046787,12.226122,151.73655,35.010501,148.518935,85.687755
Business receipts,4152.365102,33.512745,18.403315,21.853108,5.402882,617.163047,297.18405,212.397401,742.27031,990.518817,130.122429,53.517018,29.80184,22.584698,36.341661,66.726285,17.550549,279.293759,6.237598,144.290643,12.147374,149.481463,33.287246,146.280899,84.814947
"Net gain, noncapital assets",7.105203,0.216689,0.09368,0.187441,0.014412,0.564419,0.563044,0.221327,0.504548,0.599469,0.812669,0.181673,0.918854,0.030527,0.01312,0.362944,0.517637,0.165805,0.243681,0.216078,0.010679,0.118999,0.152902,0.17575,0.218496
Other receipts,71.732316,3.238981,0.76836,1.36811,0.104129,4.865008,2.093224,1.466379,7.392447,13.449602,1.077987,1.622399,6.750547,1.845,0.494162,2.740081,0.436208,4.397852,9.395765,1.51473,0.067226,2.13148,1.565325,2.049928,0.642158
Total deductions,4059.628006,37.522085,18.683573,19.425247,5.326731,599.588393,287.617979,205.208302,728.793008,986.387319,129.864818,51.756845,31.158169,22.236056,31.207537,63.674918,18.824834,260.261031,11.689546,139.217043,11.46559,136.877175,33.03798,145.417127,82.905726
Cost of goods sold,2576.43039,15.110331,11.106533,9.269133,4.331685,454.958944,199.988122,143.256187,591.251448,783.949327,55.385064,18.741541,1.717411,1.215821,4.972457,13.970892,5.204289,78.077458,0.019177,71.379731,2.263704,13.73887,6.243719,56.404448,33.204511
Compensation of officers,160.75461,0.690331,0.736912,0.507583,0.032116,19.566476,9.026233,5.349908,14.248822,14.475573,2.800168,3.430042,1.910775,3.928137,4.624551,5.799674,0.666883,30.599723,1.076447,6.132155,0.851254,19.937781,4.496079,4.426346,5.218252
Salaries and wages,449.732962,3.329877,1.357787,1.638843,0.176789,34.782286,23.439049,16.787616,46.905102,69.19608,19.049785,9.786742,10.916783,7.490743,10.461456,18.0781,2.642252,57.554278,2.065371,24.984763,3.60846,37.810089,6.29212,26.989241,14.291091
Repairs,26.225941,0.888596,0.476548,0.434246,0.019926,2.646859,1.44214,1.18316,2.368572,3.691846,2.493908,0.416515,0.241003,0.082174,0.218108,0.726504,0.47079,1.367852,0.194014,1.103417,0.142063,1.307001,0.604831,2.749792,0.953288
Bad debts,8.990922,0.01975,0.011983,0.019518,0.008153,0.819505,0.770022,0.424911,1.571887,0.971627,0.293097,0.343537,1.044113,0.02476,0.05863,0.131941,0.086144,0.68643,0.662683,0.248277,0.028685,0.281038,0.038606,0.190889,0.21955
Rent paid on business property,112.50539,2.303078,0.352682,0.560589,0.068225,10.91208,6.039896,4.173294,9.454907,19.714818,6.947794,2.100367,1.370819,1.156428,1.385,3.987559,1.855036,9.553338,0.172479,3.269796,0.721195,8.477012,1.79551,10.320133,5.787184
Taxes paid,89.22291,0.800925,0.363232,0.753054,0.06431,10.785971,6.726033,4.298718,9.246424,12.97879,5.834896,1.401291,1.076381,0.659314,0.959605,1.735891,0.583841,8.235527,0.464118,5.110523,0.464232,5.505213,1.445675,6.685641,3.011727
Interest paid,37.154873,0.785845,0.252104,0.382878,0.061642,3.763514,2.775719,1.897807,3.394096,5.10041,1.460663,0.808244,2.490454,0.496125,0.273911,1.313053,0.608078,1.315751,3.414137,0.938264,0.069391,1.257424,0.675513,2.626691,0.967391
