year,ebitda,taxDep,nid,sec199,taxinc,tau,taxbc,ftc,amt,pymtc,gbc,taxrev
2014,2397.819,876.112,138.109,32.956,1350.642,0.347,468.673,101.582,4.72,3.647,26.951,341.213
2015,2415.402,905.16,145.698,33.904,1330.64,0.347,461.732,91.795,4.65,3.732,27.726,343.129
2016,2412.741,875.188,148.126,33.376,1356.05,0.347,470.549,96.318,4.739,3.838,27.295,347.838
2017,2422.111,898.674,160.022,33.231,1330.184,0.347,461.574,99.936,4.649,3.95,27.176,335.16
2018,2426.738,719.759,-2.84,33.593,1676.225,0.28,469.343,96.6,20.363,0.0,27.472,365.634
2019,2449.641,783.593,-3.429,33.87,1635.607,0.28,457.97,97.986,19.87,0.0,27.698,352.155
2020,2484.806,833.599,-3.865,34.004,1621.069,0.28,453.899,103.554,19.693,0.0,27.808,342.231
2021,2536.282,879.956,-4.201,34.428,1626.099,0.28,455.308,109.004,19.754,0.0,28.155,337.903
2022,2605.918,925.201,-4.49,35.135,1650.071,0.28,462.02,114.807,20.045,0.0,28.733,338.526
2023,2700.771,969.148,-4.709,36.191,1700.141,0.28,476.039,121.619,20.654,0.0,29.596,345.478
2024,2803.953,1014.105,-4.92,37.469,1757.298,0.28,492.044,127.492,21.348,0.0,30.642,355.258
2025,2911.646,1057.753,-5.138,38.76,1820.271,0.28,509.676,134.141,22.113,0.0,31.697,365.951
2026,3030.097,1099.987,-5.364,40.281,1895.192,0.28,530.654,140.249,23.023,0.0,32.941,380.487
2027,3151.671,1142.782,-5.597,41.889,1972.597,0.28,552.327,145.981,23.963,0.0,34.256,396.054
