year,ebitda,taxDep,nid,sec199,taxinc,tau,taxbc,ftc,amt,pymtc,gbc,taxrev
2014,2405.61,879.557,138.109,32.956,1354.987,0.347,470.18,101.582,4.735,3.647,26.951,342.736
2015,2410.46,910.009,145.698,33.904,1320.849,0.347,458.335,91.795,4.616,3.733,27.726,339.697
2016,2416.685,880.756,148.126,33.376,1354.426,0.347,469.986,96.318,4.733,3.837,27.295,347.27
2017,2431.049,904.738,160.022,33.231,1333.058,0.347,462.571,99.936,4.659,3.948,27.176,336.17
2018,2430.279,881.664,176.211,33.593,1338.811,0.347,464.567,96.6,4.679,4.047,27.472,341.127
2019,2453.945,867.263,195.987,33.87,1356.825,0.347,470.818,97.986,4.742,4.136,27.698,345.74
2020,2495.558,754.541,215.92,34.004,1491.094,0.347,517.41,103.554,5.211,4.218,27.808,387.041
2021,2552.329,814.832,234.534,34.428,1468.535,0.347,509.582,109.004,5.132,4.329,28.155,373.227
2022,2626.719,867.246,251.711,35.135,1472.626,0.347,511.001,114.807,5.147,4.435,28.733,368.173
2023,2726.372,918.953,267.203,36.191,1504.025,0.347,521.897,121.619,5.256,4.533,29.596,371.405
2024,2832.414,974.87,281.626,37.469,1538.449,0.347,533.842,127.492,5.377,4.628,30.642,376.456
2025,2943.889,1026.692,295.592,38.76,1582.846,0.347,549.248,134.141,5.532,4.724,31.697,384.217
2026,3064.651,1074.819,309.467,40.281,1640.083,0.347,569.109,140.249,5.732,4.826,32.941,396.825
2027,3187.773,1119.577,323.469,41.889,1702.838,0.347,590.885,145.981,5.951,4.937,34.256,411.663
