year,assets,ppe,capex,rd,div_noncfc,interest,rent,service,branch,otherinc,ftaxpaid,deductions,adjustments
2014,41992.37782,4618.570461,777.5391515,296.5256994,68.00288367,62.709581,145.686232,58.498433,172.662251,229.2015008,75.403583,373.342062,10.382002
2015,,,,,,,,,,,,,
2016,,,,,,,,,,,,,
2017,,,,,,,,,,,,,
2018,,,,,,,,,,,,,
2019,,,,,,,,,,,,,
2020,,,,,,,,,,,,,
2021,,,,,,,,,,,,,
2022,,,,,,,,,,,,,
2023,,,,,,,,,,,,,
2024,,,,,,,,,,,,,
2025,,,,,,,,,,,,,
2026,,,,,,,,,,,,,
2027,,,,,,,,,,,,,
2028,,,,,,,,,,,,,
2029,,,,,,,,,,,,,
