Series Description,Nonfinancial corporate business; debt securities and loans; liability,Nonfinancial business; debt securities and loans; liability,Nonfinancial corporate business; debt securities; asset,Nonfinancial corporate business; loans; asset,Nonfinancial corporate business; municipal securities; asset,Nonfinancial corporate business; security repurchase agreements; asset,Nonfinancial corporate business; total time and savings deposits; asset,Nonfinancial corporate business; money market fund shares; asset
Unit:,Currency,Currency,Currency,Currency,Currency,Currency,Currency,Currency
Multiplier:,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
Currency:,USD,USD,USD,USD,USD,USD,USD,USD
Unique Identifier: ,Z1/Z1/FL104104005.A,Z1/Z1/FL144104005.A,Z1/Z1/FL104022005.A,Z1/Z1/FL104023005.A,Z1/Z1/FL103062003.A,Z1/Z1/FL102051003.A,Z1/Z1/FL103030003.A,Z1/Z1/FL103034000.A
Time Period,FL104104005.A,FL144104005.A,FL104022005.A,FL104023005.A,FL103062003.A,FL102051003.A,FL103030003.A,FL103034000.A
1960,145592,200616,20038,9647,2382,0,3000,0
1961,152987,214704,18828,9650,2395,0,4100,0
1962,163466,232768,17583,10444,2697,0,5000,0
1963,174184,252156,21492,11405,3787,0,5687,0
1964,187925,274192,20855,12365,3680,309,6671,0
1965,208193,303787,19756,13314,4600,593,8993,0
1966,232924,338202,18572,13511,3639,895,8603,0
1967,255245,370856,16871,13793,3300,670,9682,0
1968,286074,412656,19274,13896,3782,1121,9056,0
1969,318879,460784,17750,14263,2800,3311,3652,0
1970,363384,511941,19056,14876,2175,234,5347,0
1971,392236,563398,24418,17553,3175,1077,9509,0
1972,431815,634365,26327,18224,4175,2688,11890,0
1973,497437,727578,23431,19480,4038,11262,16623,0
1974,553066,820315,26740,21022,4654,5485,20464,0
1975,572665,860266,30745,30909,4846,1189,24130,0
1976,614346,931428,39154,33867,4228,1459,28783,0
1977,690322,1050133,32988,37943,4370,2115,35456,200
1978,766056,1184262,31966,42037,4611,2509,38182,610
1979,851772,1343789,29316,47101,4458,3116,40414,3000
1980,919612,1474673,34396,56795,9362,3887,45022,6993
1981,1038680,1658457,43236,66228,10606,1784,54971,18416
1982,1129934,1807588,44459,69033,12178,2435,63573,19031
1983,1247243,1996223,64787,75406,18268,3248,69974,11153
1984,1457968,2320616,74011,89824,22483,3919,69124,16062
1985,1638943,2571990,81169,99518,25572,3374,69301,14516
1986,1864487,2864682,77913,97167,25055,5073,85530,18117
1987,2051545,3109776,68768,105555,19364,3362,85943,18940
1988,2265205,3407149,64397,128902,16794,4981,82273,15649
1989,2455221,3645415,107244,118228,32351,2783,80610,16224
1990,2585389,3775906,79441,119913,24671,2137,74564,26329
1991,2526640,3688603,108051,121960,44818,1620,77581,32331
1992,2545000,3680513,132031,125777,45813,5057,75991,47346
1993,2690672,3805533,142017,129512,54708,2506,91982,44812
1994,2888046,4017337,146227,142974,56706,2178,96369,52209
1995,3095221,4269862,137448,142982,36787,2440,99688,76969
1996,3244885,4489967,138126,132095,31017,3904,129670,94627
1997,3522203,4869215,98342,164654,27380,4562,164374,118834
1998,3914390,5440419,99405,146610,25748,4208,192588,161719
1999,4320879,6040721,104442,117347,25002,5793,236877,196783
2000,4678729,6590990,123231,125025,31938,4204,272343,213914
2001,4809033,6884773,123891,119690,29331,3980,281120,314064
2002,4815090,7042700,145157,124359,32131,6171,291301,319714
2003,4822792,7124305,156003,110823,35404,5986,362778,293559
2004,5009505,7565761,172188,125809,31813,6422,370456,305966
2005,5273981,8172025,212576,127833,32113,14560,380360,359020
2006,5675557,8989001,211417,108110,28131,15533,386992,428003
2007,6339726,10114864,149742,90798,29188,8050,261335,565641
2008,6585674,10679754,124057,80591,26164,7178,151888,798998
2009,6181064,10166652,140373,72768,27101,7852,228801,725069
2010,6071567,10022854,204139,72377,23935,20724,177414,555140
2011,6393258,10280632,195655,72781,22291,21511,149298,515830
2012,6726403,10785253,180309,70436,22915,17080,149868,504912
2013,7086576,11250654,179163,66157,21167,20086,174707,535492
2014,7534489,11980373,209179,67922,21223,50736,152012,557603
2015,8094258,12786482,205854,69881,22267,61946,144284,576563
2016,8394200,13472816,198336,71032,19251,84586,162858,464035
2017,9082773,14414995,236809,94338,17247,39798,157072,475659
2018,9724666,15322170,239021,118229,14561,20723,156313,466316
